session,g1,g2,MDE_correctness_absdiff,MDE_time_minutes
0.0,1,2,0.574657161127505,24.78570864561234
0.0,1,3,0.5564094037064148,20.19964102878447
0.0,1,4,0.5770465982992615,23.699456060492285
0.0,2,3,0.5564094037064148,18.920916537520597
0.0,2,4,0.5770465982992615,22.057499770136975
0.0,3,4,0.5529923228494984,17.373151540347006
1.0,1,2,0.4607507596704154,28.04119445094759
1.0,1,3,0.574657161127505,26.836842485745336
1.0,1,4,0.6113560156129545,18.889118491658955
1.0,2,3,0.574657161127505,34.204377940598235
1.0,2,4,0.6113560156129545,28.72083886468271
1.0,3,4,0.5770465982992615,22.43309301300308
2.0,1,2,0.597299975432974,21.81794604692664
2.0,1,3,0.597299975432974,21.15793849015127
2.0,1,4,0.5770465982992615,17.28881207034074
2.0,2,3,0.5948266729853117,27.03538975231934
2.0,2,4,0.5529923228494984,20.374129299070805
2.0,3,4,0.5529923228494984,18.981406883106104
3.0,1,2,0.6113560156129545,14.723732773521167
3.0,1,3,0.587344278615537,18.60296145548764
3.0,1,4,0.5770465982992615,15.177797762623634
3.0,2,3,0.6057727387036996,22.410409032671975
3.0,2,4,0.5975985507955014,13.523019157779121
3.0,3,4,0.5529923228494984,18.052474959591443
4.0,1,2,0.6113560156129545,31.523435966412183
4.0,1,3,0.5948266729853117,20.755556677197585
4.0,1,4,0.5770465982992615,12.104531139335762
4.0,2,3,0.6113560156129545,27.690724581155116
4.0,2,4,0.5741541159328755,14.598299729515556
4.0,3,4,0.5770465982992615,10.55014256187705
5.0,1,2,0.6233133616811691,21.13020996933095
5.0,1,3,0.6057727387036996,13.823178006376633
5.0,1,4,0.5975985507955014,18.411189799946186
5.0,2,3,0.5944488852857309,17.162066300592283
5.0,2,4,0.6137965682934015,17.690062988758143
5.0,3,4,0.6057727387036996,15.403706949595279
