group,session,n,correct_mean,correct_lo,correct_hi,time_median_min,time_median_lo,time_median_hi,time_mean_min,time_mean_lo,time_mean_hi
1,0.0,11,0.36363636363636365,0.0793617493403283,0.647910977932399,44.42,29.7,54.21,42.77454545454545,33.77848404272795,51.770606866362954
2,0.0,11,0.36363636363636365,0.0793617493403283,0.647910977932399,34.4,20.22,42.23,35.514545454545456,26.470103782049893,44.55898712704102
3,0.0,11,0.2727272727272727,0.0095401209569137,0.5359144244976317,37.46,28.21,45.39,37.70727272727272,31.164354471210217,44.25019098333523
4,0.0,10,0.3,0.015974234910674623,0.5840257650893254,37.8,28.38,48.504999999999995,39.297,30.403936790297937,48.19006320970206
1,1.0,11,0.18181818181818182,0.0,0.40974494120098337,30.335,19.805,35.21,28.839,21.722093577361026,35.955906422638975
2,1.0,11,0.18181818181818182,0.0,0.40974494120098337,30.765,21.835,36.315,30.778999999999996,20.691887887954017,40.866112112045975
3,1.0,11,0.5454545454545454,0.25120236437300697,0.8397067265360838,23.68,16.615000000000002,34.900000000000006,27.107,16.202228673191076,38.011771326808926
4,1.0,10,0.8,0.5520819870781755,1.0,7.8100000000000005,7.273084529257029,12.85,13.48,2.6950116341752715,24.264988365824728
1,2.0,11,0.45454545454545453,0.16029327346391609,0.748797635626993,20.48,14.36,24.52,22.53909090909091,16.648184708420224,28.429997109761594
2,2.0,11,0.5454545454545454,0.25120236437300697,0.8397067265360838,19.96,11.56,25.67,23.553636363636368,12.644204576832434,34.4630681504403
3,2.0,11,0.5454545454545454,0.25120236437300697,0.8397067265360838,19.18,9.36,33.66,25.61181818181818,13.765815837335841,37.457820526300516
4,2.0,10,0.9,0.7140614903086315,1.0,12.765,7.375,20.26,14.773000000000001,8.412371622135408,21.133628377864596
1,3.0,11,0.5454545454545454,0.25120236437300697,0.8397067265360838,23.38,17.4,27.86,24.62909090909091,19.469569190130485,29.788612628051332
2,3.0,10,0.5,0.19010248384771922,0.8098975161522808,25.924999999999997,16.975,30.74,24.684,18.655326686473824,30.712673313526178
3,3.0,11,0.6363636363636364,0.352089022067601,0.9206382506596718,23.57,18.19,33.83,26.01,18.222979130824974,33.79702086917503
4,3.0,10,0.8,0.5520819870781755,1.0,12.14,8.205,15.22,14.083000000000002,8.225163015527517,19.940836984472487
1,4.0,11,0.45454545454545453,0.16029327346391609,0.748797635626993,21.05,13.81,31.18,25.6,17.367884226660156,33.83211577333985
2,4.0,10,0.5,0.19010248384771922,0.8098975161522808,28.634999999999998,10.855,31.33,22.503999999999998,14.231271907984633,30.77672809201536
3,4.0,11,0.45454545454545453,0.16029327346391609,0.748797635626993,25.98,12.46,29.88,26.012727272727272,18.646939980439615,33.37851456501493
4,4.0,10,0.9,0.7140614903086315,1.0,12.67,8.51,14.88,12.825999999999999,9.12925065244266,16.522749347557337
1,5.0,10,0.5,0.19010248384771922,0.8098975161522808,24.575000000000003,18.965,35.533214024303504,28.551,19.795151964411396,37.3068480355886
2,5.0,10,0.4,0.0963636851484016,0.7036363148515985,21.745,12.305,28.18,21.617,14.287876849262432,28.94612315073757
3,5.0,11,0.36363636363636365,0.0793617493403283,0.647910977932399,18.87,11.5,19.98,20.670909090909092,13.520776227046765,27.821041954771417
4,5.0,10,0.8,0.5520819870781755,1.0,9.545,6.585,14.85,12.729,5.391440665988646,20.06655933401135
