session,g1,g2,p1,p2,z,p,holm_threshold,reject_at_alpha
0.0,1,2,0.36363636363636365,0.36363636363636365,0.0,1.0,0.008333333333333333,False
0.0,1,3,0.36363636363636365,0.2727272727272727,0.4577377082147588,0.6471408934443925,0.01,False
0.0,1,4,0.36363636363636365,0.3,0.3089571903251624,0.7573540918468935,0.0125,False
0.0,2,3,0.36363636363636365,0.2727272727272727,0.4577377082147588,0.6471408934443925,0.016666666666666666,False
0.0,2,4,0.36363636363636365,0.3,0.3089571903251624,0.7573540918468935,0.025,False
0.0,3,4,0.2727272727272727,0.3,-0.13816985594085154,0.8901061780373212,0.05,False
1.0,1,2,0.18181818181818182,0.18181818181818182,0.0,1.0,0.008333333333333333,True
1.0,1,3,0.18181818181818182,0.5454545454545454,-1.7728105208471936,0.07626010948472617,0.01,True
1.0,1,4,0.18181818181818182,0.8,-2.8328649750506285,0.004613286816872453,0.0125,False
1.0,2,3,0.18181818181818182,0.5454545454545454,-1.7728105208471936,0.07626010948472617,0.016666666666666666,False
1.0,2,4,0.18181818181818182,0.8,-2.8328649750506285,0.004613286816872453,0.025,False
1.0,3,4,0.5454545454545454,0.8,-1.2358287613006496,0.21652222166326807,0.05,False
2.0,1,2,0.45454545454545453,0.5454545454545454,-0.4264014327092207,0.6698153576008736,0.008333333333333333,False
2.0,1,3,0.45454545454545453,0.5454545454545454,-0.4264014327092207,0.6698153576008736,0.01,False
2.0,1,4,0.45454545454545453,0.9,-2.1627003322761365,0.030564235534962902,0.0125,False
2.0,2,3,0.5454545454545454,0.5454545454545454,0.0,1.0,0.016666666666666666,False
2.0,2,4,0.5454545454545454,0.9,-1.7962081272310697,0.07246142265530664,0.025,False
2.0,3,4,0.5454545454545454,0.9,-1.7962081272310697,0.07246142265530664,0.05,False
3.0,1,2,0.5454545454545454,0.5,0.20829889522431075,0.8349955942117913,0.008333333333333333,False
3.0,1,3,0.5454545454545454,0.6363636363636364,-0.43362909038992564,0.6645578066371576,0.01,False
3.0,1,4,0.5454545454545454,0.8,-1.2358287613006496,0.21652222166326807,0.0125,False
3.0,2,3,0.5,0.6363636363636364,-0.6306562238839746,0.5282653280545417,0.016666666666666666,False
3.0,2,4,0.5,0.8,-1.406421692808893,0.15959894244460537,0.025,False
3.0,3,4,0.6363636363636364,0.8,-0.8290191356451092,0.4070935792524728,0.05,False
4.0,1,2,0.45454545454545453,0.5,-0.208298895224311,0.834995594211791,0.008333333333333333,False
4.0,1,3,0.45454545454545453,0.45454545454545453,0.0,1.0,0.01,False
4.0,1,4,0.45454545454545453,0.9,-2.1627003322761365,0.030564235534962902,0.0125,False
4.0,2,3,0.5,0.45454545454545453,0.208298895224311,0.834995594211791,0.016666666666666666,False
4.0,2,4,0.5,0.9,-1.9518001458875425,0.050961936968894506,0.025,False
4.0,3,4,0.45454545454545453,0.9,-2.1627003322761365,0.030564235534962902,0.05,False
5.0,1,2,0.5,0.4,0.44946657497347436,0.653095114933639,0.008333333333333333,False
5.0,1,3,0.5,0.36363636363636365,0.6306562238839746,0.5282653280545417,0.01,False
5.0,1,4,0.5,0.8,-1.406421692808893,0.15959894244460537,0.0125,False
5.0,2,3,0.4,0.36363636363636365,0.17137861409858743,0.8639260694768676,0.016666666666666666,False
5.0,2,4,0.4,0.8,-1.8257418583422205,0.06788915486308489,0.025,False
5.0,3,4,0.36363636363636365,0.8,-2.018099916428719,0.04358085639358111,0.05,False
